@lat,@lon,amenity,cuisine,name,opening_hours,diet:vegetarian,diet:vegan
50.0702715,14.4049303,restaurant,,Smíchovna,,,
50.0715692,14.4471681,restaurant,local,Plevel,,,only
50.1042644,14.4512392,restaurant,,Twenty7,Mo-Fr 08:30-22:00; Sa 10:00-22:00,,
50.0995526,14.4284154,restaurant,turkish,Radava,,,
50.0941845,14.4548702,restaurant,,Casa de Andalucía,,,
50.0919096,14.4490704,restaurant,,Pizzeria Cihelna,Mo-Su 11:00-24:00,,
50.0598908,14.4300930,restaurant,,Kandelábr,"Mo-Fr 08:00-24:00, Sa-Su 11:00-24:00",,
50.0801771,14.4048678,restaurant,asian;thai;vietnamese,Cloverleaf,,,
50.0785108,14.5043384,restaurant,,V Aleji,,,
50.1248893,14.4948619,restaurant,regional,Plnej pekáč,11:00-24:00,,
50.1038054,14.4320472,restaurant,regional,Valcha,Mo-Su 11:00-23:30,,
50.1115236,14.3223971,restaurant,regional,U Žabáka,Mo-Su 10:30-22:00,,
50.0933121,14.4520347,restaurant,pizza,Pizzeria Carllino,"Mo-Fr 08:00-23:30, Sa,Su 12:00-23:30",,
50.1001944,14.4521611,restaurant,regional,Rumika,,,
50.0737125,14.4765066,restaurant,,Krmělec Vršky,,,yes
50.1029527,14.4485820,restaurant,czech,Holešovická Kozlovna,Mo-Fr 11:00-23:00; Sa-Su 11:30-23:00,,
50.0840482,14.4145094,restaurant,,Lehká hlava,Mo-Fr 11:30-23:30; Sa-Su 12:00-23:30,only,
50.0680940,14.5073804,restaurant,,Nová asijská restaurace Skalka,,,
50.0733742,14.4333722,restaurant,indian,Dhaba Beas,"Mo-Fr 11:00-21:00, Sa,Su 12:00-20:00",only,yes
50.0992220,14.3694371,restaurant,chinese,Nové století,,,
50.0994817,14.3999310,restaurant,,Krčma fontána,Mo-Su 11:00-24:00,,
50.1009959,14.3991294,restaurant,japanese,Sakura,,,
50.1003952,14.3879109,restaurant,regional,Pod Loubím,"Mo-Fr 11:00-23:00; Sa, Su 12:00-23:00",,
50.0886347,14.4049213,restaurant,,U Schnellů,,,
50.0892972,14.4687445,restaurant,asian,Tasty Asia,Mo-Fr 10:30-22:00; Sa-Su 11:00-22:00,,
50.0923102,14.4848466,restaurant,,Magneto Bar,,,
50.0920502,14.4815374,restaurant,,U Študáka,"Mo-Fr 10:00-22:00; Sa,Su 11:00-22:00",,
50.0818500,14.4046798,restaurant,regional,Pivnice U Švejků,,,
50.1009713,14.3869501,restaurant,,Akademická restaurace při Masarykově koleji,Mo-Fr 11:00-22:00,,
50.0844909,14.4294297,restaurant,regional,U Jindříšské věže,Mo-Fr 10:00-23:00; Sa-Su 11:00-23:00,,
50.0811145,14.4206309,restaurant,,Wokin,Mo-Sa 11:00-22:00,,
50.0815553,14.4193514,restaurant,,U Brejšků,Mo-Fr 11:00-23:00,,
50.0813827,14.4192762,restaurant,,U Seminaristy,,,
50.0990335,14.4021888,restaurant,,U Veverky,Mo-Su 11:00-23:00,,
50.0979052,14.4018909,restaurant,,Bruska,,,
50.0985434,14.3990429,restaurant,,Pizzeria Giuseppe,,,
50.0986784,14.4016916,restaurant,,Pizzeria Canzone,,,
50.0890918,14.4683194,restaurant,czech,Polo,,,
50.0881626,14.4035327,restaurant,regional,Profesní dům,Mo-Su 11:00-18:00,,
50.0763197,14.4680933,restaurant,vietnamese;thai;asian,Mr.Fat Restaurant,"11:00-15:30, 16:30-22:00",,
50.0948049,14.4959000,restaurant,chinese,Tian Jin,Mo-Su 11:00-22:30,,
50.0895011,14.4647503,restaurant,,U České chalupy,,,
50.0981006,14.4046926,restaurant,,Sokolovna,"Mo,Tu 10:00-23:00; We-Fr 10:00-24:00; Sa,Su 11:00-23:00",,
50.0926761,14.4882168,restaurant,asian;sushi,Don Vito Asia Restaurant,Mo-Fr 10:30-22:00;Sa-Su 11:00-21:30,,
50.0873150,14.4697670,restaurant,,U Kozla,Mo-Su 11:00-23:00,,
50.0754616,14.4899653,restaurant,,U Slámů,Mo-Su 11:00-23:00,,
50.0922593,14.4897311,restaurant,vietnamese,Pho Hoang ANH 214,Mo-Fr 10:30-22:00; Sa-Su 11:00-22:00,,
50.0878457,14.4694763,restaurant,,Kabinet,,,
50.1005476,14.3888911,restaurant,vietnamese,Vietnamese Restaurant Dua,,,
50.0916920,14.4972090,restaurant,,U Cibulků,Mo-Sa 10:00-22:00,,
50.0921161,14.4968693,restaurant,,Little Bastard,24/7,,
50.0777201,14.4623624,restaurant,,U Sládečků,,,
50.0698891,14.4354343,restaurant,regional;steak,Zvonařka,,,
50.1110350,14.5566483,restaurant,regional,Na Hrádku,,,
50.1100161,14.5567687,restaurant,,Arter,,,
50.1088580,14.5570771,restaurant,,Pizzeria Positano,,,
50.1118320,14.5026882,restaurant,,U Kavalíra,,,
