 
43.5204619,16.4264488,Sportska lučica Poljud,,,,marina,,,
43.5133678,16.4303615,,,,,playground,,,
43.5049369,16.4572777,,,,,playground,,,
43.5123150,16.4330792,,,,,playground,,,
43.5145373,16.4655771,,,,,picnic_table,,,
43.5050822,16.4444599,,,,,playground,,,
43.5036648,16.4536603,,,,,playground,,,
43.5037514,16.4641950,Crkva Presvetog Otkupitelja,,,place_of_worship,,christian,,
43.5036187,16.4634328,Samostan o. fra Ante Antića,,,monastery,,christian,,
43.5035812,16.4499593,ŠK Bačvice,,,community_centre,,,,
43.5046810,16.4542397,Automat klub Vulkan,,,,adult_gaming_centre,,,
43.5059102,16.4587219,S.K. Dalmacija,,,,sports_centre,,,
43.5015879,16.4256186,Tonči Petrasov Marović,,memorial,,,,,
43.5132970,16.4433126,,,monument,,,,,
43.5203063,16.4304733,,,monument,,,,,
43.5082234,16.4668577,My Look,,,,fitness_centre,,,
43.5096436,16.4552876,Vulkan,,,casino,,,,
43.5074871,16.4668491,,,,,outdoor_seating,,,
43.5098681,16.4679977,HOS,,memorial,,,,,
43.5075857,16.4667924,Admiral,,,casino,adult_gaming_centre,,,
43.5094079,16.4679161,Quattro,,,,fitness_centre,,,
43.5098090,16.4682291,,,,,outdoor_seating,,,
43.5090287,16.4720259,Sporting,,,,sports_centre,,,
43.5092269,16.4719253,Igralište DV Petar Pan,,,,playground,,,
43.5053686,16.4651415,27.9.1943.,,memorial,,,,,
43.5088509,16.4257650,,,,fountain,,,,
43.5110615,16.4684925,Povijest pisana u kamenu,,memorial,,,,,
43.5156718,16.4682411,Tattoo&Piercing studio BLACK&WHITE,,,,,HUMAN,TATTOO,
43.5119609,16.4571432,,,,,picnic_table,,,
43.5136990,16.4409170,,,,fountain,,,,
43.5097196,16.4403871,,,memorial,,,,,
43.5035962,16.4282273,Sašo Gešovski,,memorial,,,,,
43.5176299,16.4699964,California gym,,,,fitness_centre,,,
43.5035758,16.4619440,,,,,playground,,,
43.5113286,16.4688168,,,,,outdoor_seating,,,
43.5123772,16.4568400,Spomenik borcima Prvog splitskog partizanskog odreda,,memorial,,,,,
43.5228621,16.4715512,Rođendaonica Nigdjezemska,,,events_venue,,,,
43.5019834,16.4712497,,,,,playground,,,
43.5085789,16.4240436,Labirint,,,,playground,,,
43.5142291,16.4288974,Službeni park za pse GK Spinut,,,,dog_park,,,
43.5130517,16.4423060,Ad basilicas pictas,,archaeological_site,,,,,
43.5141291,16.4300289,Riviera,,,,adult_gaming_centre,,,
43.5024437,16.4468361,,,,,beach_resort,,,
43.5005765,16.4507963,,,,,beach_resort,,,
43.5014614,16.4701121,,,,,beach_resort,,,
43.5089120,16.4514368,,,,,fitness_centre,,,
43.5038983,16.4555334,Private Gym Box,,,,sports_centre,,,
43.5098164,16.4663649,,,,,dog_park,,,
43.5181413,16.4366773,,,,,playground,,,
43.5123198,16.4351341,Stari plac,,,,pitch,,,
43.5022816,16.4235446,Lučica Jadran,,,,marina,,,
43.5171914,16.4262487,Sportska lučica Marjan,,,,marina,,,
43.5183497,16.4271983,Sportska lučica Mornar,,,,marina,,,
43.5077833,16.4492931,,,,,park,,,
43.5090980,16.4490475,Šumica,,,,park,,,
43.5080760,16.4477748,,,,,pitch,,,
43.5108184,16.4506808,,,,,pitch,,,
43.5080297,16.4483059,,,,,pitch,,,
43.5101795,16.4513489,,,,,playground,,,
43.5076986,16.4516720,,,,,park,,,
43.5101915,16.4508035,,,,,pitch,,,
43.5106252,16.4509726,,,,,pitch,,,
43.5101344,16.4516047,,,,,park,,,
43.5102035,16.4502220,KK Split,,,,sports_hall,,,
43.5080124,16.4493152,,,,,pitch,,,
43.5045770,16.4499099,,,,,pitch,,,
43.5082386,16.4475085,,,,,pitch,,,
43.5043866,16.4504316,Samostan Gospe od Pojišana,,,place_of_worship,,christian,,
43.5077855,16.4292827,Staro židovsko groblje,,,,,jewish,,
43.5013160,16.4260182,Sustipan,,,,park,,,
43.5010666,16.4251952,Župna crkva sv. Stjepana,,,place_of_worship,,christian,,
43.5015707,16.4239904,,,,,swimming_pool,,,
43.5026326,16.4252709,Zvončac,,,,park,,,
43.5018978,16.4242237,,,,,swimming_pool,,,
43.5032874,16.4276307,Park hrvatskih branitelja,,,,park,,,
43.5052316,16.4220334,,,,,playground,,,
43.5057495,16.4217986,,,,,playground,,,
43.5035876,16.4215360,,,,,pitch,,,
43.5189055,16.4388889,Školski prometni poligon,,,,pitch,,,
43.5036406,16.4200680,,,,,garden,,,
43.5029073,16.4280207,,,,,park,,,
43.5025846,16.4257053,,,,,playground,,,
43.5033655,16.4230763,,,,,garden,,,
43.5075953,16.4342477,,,,,park,,,
43.5101873,16.4564081,Konkatedrala Svetog Petra,,,place_of_worship,,christian,,
43.5087602,16.4685188,,,,,pitch,,,
43.5108245,16.4689297,,,,,park,,,
43.5110206,16.4689844,,,,,park,,,
43.5109988,16.4686841,,,,,park,,,
43.5087885,16.4689523,,,,,pitch,,,
43.5189535,16.4627810,,,,,playground,,,
43.5091675,16.4449992,crkva svetog Roka,,,place_of_worship,,christian,,
43.5031469,16.4241211,,,,,pitch,,,
43.5087706,16.4664922,,,,,pitch,,,
43.5086550,16.4663002,,,,,pitch,,,
43.5123765,16.4512458,,,,,pitch,,,
43.5086841,16.4660483,,,,,pitch,,,
43.5123361,16.4464237,,,,,stadium,,,
43.5128981,16.4461594,,,,,pitch,,,
43.5110648,16.4370173,Hrvatsko narodno kazalište u Splitu,,,theatre,,,,
43.5094382,16.4473662,Društvo za športsku rekreaciju Sv. Roko,,,,sports_centre,,,
43.5049391,16.4187882,,,,,garden,,,
43.5044623,16.4188541,,,,,garden,,,
43.5177776,16.4332836,,,,,park,,,
43.5196023,16.4584943,,,,,pitch,,,
43.5117901,16.4406342,,,,,pitch,,,
43.5104797,16.4442573,,,,,garden,,,
43.5106289,16.4446368,,,,,garden,,,
43.5010771,16.4253554,,,archaeological_site,,,,,
43.5011169,16.4263274,Klasicistički glorijet,,yes,,,,,
43.5225043,16.4260972,,,,,pitch,,,
43.5224402,16.4257057,,,,,pitch,,,
43.5230442,16.4254189,,,,,pitch,,,
43.5223912,16.4248044,,,,,pitch,,,
43.5229957,16.4259580,,,,,pitch,,,
43.5224265,16.4250757,,,,,pitch,,,
43.5154492,16.4249702,,,,,pitch,,,
43.5155297,16.4244410,,,,,pitch,,,
43.5235761,16.4235438,,,,,pitch,,,
43.5233974,16.4255969,,,,,track,,,
43.5143350,16.4505238,,,,,dog_park,,,
43.5025426,16.4481319,,,,,park,,,
43.5160624,16.4421704,,,,place_of_worship,,christian,,
43.5014858,16.4242611,,,,,stadium,,,
43.5201586,16.4658446,Sv. Mateja,,,place_of_worship,,christian,,
43.5082675,16.4358827,Sv. Frane,,,,park,,,
43.5190325,16.4419817,,,,,pitch,,,
43.5127464,16.4431150,,,,,park,,,
43.5145788,16.4553018,,,,,pitch,,,
43.5147794,16.4557280,,,,,pitch,,,
43.5043132,16.4732746,,,,,pitch,,,
43.5057368,16.4468435,Samostan sestara Klarisa,,,monastery,,christian,,
43.5047295,16.4483199,,,,,pitch,,,
43.5045333,16.4474640,,,,,park,,,
43.5151338,16.4476235,,,,,pitch,,,
43.5162953,16.4485797,,,,,pitch,,,
43.5140391,16.4464593,,,,,garden,,,
43.5151901,16.4457488,,,,,garden,,,
43.5150396,16.4448783,,,,,garden,,,
43.5113617,16.4411213,,,,place_of_worship,,christian,,
43.5147606,16.4651588,Sv. Andrija,,,place_of_worship,,christian,,
43.5035264,16.4189876,,,,,garden,,,
43.5097339,16.4315148,,,,,garden,,,
43.5121127,16.4329765,,,,,pitch,,,
43.5117654,16.4323435,,,,,pitch,,,
43.5124315,16.4344111,,,,,bleachers,,,
43.5122351,16.4327717,,,,,pitch,,,
43.5118734,16.4328254,,,,,pitch,,,
43.5117990,16.4323583,,,,,pitch,,,
43.5173390,16.4380150,,,,,pitch,,,
43.5153750,16.4373126,,,,,park,,,
43.5190753,16.4652108,,,,,playground,,,
43.5194545,16.4638627,Crkva sv. Luke,,,place_of_worship,,christian,,
43.5181768,16.4633581,Balotaško igralište,,,,pitch,,,
43.5190964,16.4633987,,,,,park,,,
43.5105953,16.4587195,,,,,pitch,,,
43.5065324,16.4717724,Hendrino igralište,,,,pitch,,,
43.5165337,16.4421140,,,,,garden,,,
43.5134316,16.4350724,,,,,garden,,,
43.5133557,16.4331269,,,,,garden,,,
43.5143930,16.4344212,,,,,pitch,,,
43.5144198,16.4350582,,,,,park,,,
43.5143096,16.4339908,,,,,pitch,,,
43.5157871,16.4345932,,,,,park,,,
43.5158627,16.4348851,,,,,park,,,
43.5176960,16.4335485,,,,,pitch,,,
43.5154883,16.4326768,,,,,pitch,,,
43.5164096,16.4665119,,,,,playground,,,
43.5144901,16.4290161,,,,,garden,,,
43.5176654,16.4325486,,,,,garden,,,
43.5135760,16.4317092,,,,,garden,,,
43.5135411,16.4305418,,,,,garden,,,
43.5124692,16.4296923,,,,,park,,,
43.5116561,16.4388871,Samostan Sestara Službenica Milosrđa,,,place_of_worship,,christian,,
43.5112860,16.4378595,crkva Gospe od Zdravlja,,,place_of_worship,,christian,,
43.5166353,16.4724384,Crkva sv. Pavla apostola - Pujanke,,,place_of_worship,,christian,,
43.5153665,16.4559825,,,,,pitch,,,
43.5153724,16.4560254,,,,,pitch,,,
43.5154991,16.4550946,,,,,pitch,,,
43.5154003,16.4532357,,,,,pitch,,,
43.5122466,16.4565586,,,,,pitch,,,
43.5121738,16.4570929,,,,,pitch,,,
43.5121675,16.4570546,,,,,pitch,,,
43.5030299,16.4472230,,,,,playground,,,
43.5028543,16.4488535,,,,,park,,,
43.5032283,16.4472527,,,,,park,,,
43.5034653,16.4547318,,,,,pitch,,,
43.5130944,16.4516298,,,,,playground,,,
43.5122911,16.4524418,,,,,playground,,,
43.5097479,16.4484003,Perivoj Vidilica,,,,park,,,
43.5012007,16.4240421,,,,,pitch,,,
43.5083109,16.4395869,Jupiterov hram,,building,,,,,
43.5080299,16.4404636,Mauzolej cara Dioklecijana,,tomb,,,,,
43.5083414,16.4402380,Dioklecijanova palača,attraction,archaeological_site,,,,,
43.5088744,16.4403249,Getski vrtal,,,,garden,,,
43.5066963,16.4426020,Nadbiskupska palača,,castle,,,,,
43.5078937,16.4414865,Dominikanska crkva i samostan sv. Katarine Aleksandrijske,,,place_of_worship,,christian,,
43.5076609,16.4414610,,,ruins,,,,,
43.5064811,16.4425790,,,,,garden,,,
43.5068550,16.4472667,,,,,garden,,,
43.5077315,16.4437425,,,,,park,,,
43.5039004,16.4450411,,,,,park,,,
43.5080428,16.4551557,,,,,pitch,,,
43.5079073,16.4432083,,,,,garden,,,
43.5090571,16.4580362,,,,,garden,,,
43.5098208,16.4570359,,,,,pitch,,,
43.5097778,16.4571368,,,,,pitch,,,
43.5098133,16.4574463,,,,,park,,,
43.5056529,16.4470106,,,,,garden,,,
43.5022291,16.4437370,,,,,park,,,
43.5205738,16.4645746,,,,,playground,,,
43.5066880,16.4608926,,,,,pitch,,,
43.5068345,16.4631696,Parkić,,,,park,,,
43.5067195,16.4608883,,,,,pitch,,,
43.5068134,16.4634439,,,,,playground,,,
43.5062020,16.4608735,,,,,garden,,,
43.5061615,16.4587834,Parkić,,,,park,,,
43.5061306,16.4582049,Vrtić,,,,playground,,,
43.5068780,16.4594860,Blatine,,,,dog_park,,,
43.5073135,16.4579109,Heating Plant playground,,,,pitch,,,
43.5073422,16.4582484,,,,,pitch,,,
43.5073457,16.4586466,,,,,pitch,,,
43.5075758,16.4609589,,,,,pitch,,,
43.5074263,16.4589953,,,,,pitch,,,
43.5075241,16.4612059,,,,,pitch,,,
43.5209105,16.4357990,Svete Trojice,,,place_of_worship,,christian,,
43.5193383,16.4383531,,,,,pitch,,,
43.5205357,16.4353939,,,,,pitch,,,
43.5194199,16.4383111,,,,,pitch,,,
43.5207951,16.4316433,,,,,park,,,
43.5193046,16.4295126,,,,,pitch,,,
43.5182033,16.4267428,,,,,swimming_pool,,,
43.5158821,16.4274643,,,,,pitch,,,
43.5149368,16.4235228,,,,,pitch,,,
