 
53.7750614,20.4770426,,,,,playground,,,
53.7810691,20.4913500,,,,,park,,,
53.7730243,20.5092268,Stadion OKS Stomil Olsztyn,,,,stadium,,,
53.7956789,20.4888396,KKS Warmia,,,,pitch,,,
53.7843331,20.4740851,,,,,pitch,,,
53.7951609,20.4790984,,,,,pitch,,,
53.7952395,20.4856361,,,,,pitch,,,
53.7771162,20.4747523,Amfiteatr im. Czesława Niemena,,,theatre,,,,
53.7777195,20.4743923,Zamek Kapituły Warmińskiej,,castle,,,,,
53.7652487,20.5042160,Kościół pw. Chrystusa Odkupiciela Człowieka,,,place_of_worship,,christian,,
53.7760998,20.4776203,Katedra pw. Świętego Jakuba Apostoła,,,place_of_worship,,christian,,
53.7785319,20.4874025,Kościół pw. Najświętszego Serca Pana Jezusa,,,place_of_worship,,christian,,
53.7730451,20.5120862,7 Jump Street,,,,trampoline_park,,,
53.7711443,20.4770487,,,,,sports_centre,,,
53.7715512,20.4773954,Basen OSiR,,,,swimming_pool,,,
53.7742691,20.4888866,Basen OSiR,,,,sports_centre,,,
53.7743899,20.5076995,,,,,pitch,,,
53.7703530,20.4950513,,,,,pitch,,,
53.7772811,20.4758061,Ewangelicki Kościół Chrystusa Zbawiciela,,church,place_of_worship,,christian,,
53.7553480,20.4541521,,,,,pitch,,,
53.7548711,20.4536270,,,,,pitch,,,
53.7585904,20.4534741,,,,,marina,,,
53.7597746,20.4566833,,,,,pitch,,,
53.7602743,20.4569331,,,,,pitch,,,
53.7844093,20.4930150,Młyn Olsztyński,,ruins,,,,,
53.7565003,20.4574393,,,,,pitch,,,
53.7541180,20.4585577,,,,,sports_centre,,,
53.7576281,20.4578608,Hala Sportowa UWM,,,,sports_centre,,,
53.7633607,20.4672154,Kościół pw. Świętego Wojciecha,,,place_of_worship,,christian,,
53.7543854,20.4559200,Siłownia Nad Kortówką,,,,sports_centre,,,
53.7568767,20.4747654,Park podworski Pozorty,,,,park,,,
53.7628953,20.4870058,Sala Królestwa Świadków Jehowy,,,place_of_worship,,christian,,
