41.0419227,29.0068359,Barbaros Hayrettin Türbesi,,memorial,,,muslim,,
41.0436489,29.0084424,,,,place_of_worship,,muslim,,
41.0456489,29.0085216,Ertuğrul Tekke Camii,,,place_of_worship,,muslim,,
41.0436618,29.0050784,Beşiktaş Panayia Rum Ortodoks Kilisesi Vakfı,,,place_of_worship,,christian,,
41.0241222,29.0161834,,,,fountain,,,,
41.0184464,29.0275916,Murat Reis Camii,,,place_of_worship,,muslim,,
41.0209212,29.0313660,Surp Garabed Kilisesi,,,place_of_worship,,christian,,
41.0231773,29.0235858,Fatma Hatun Camii,,,place_of_worship,,muslim,,
41.0317322,28.9755569,Surp Yerrortutyun,,,place_of_worship,,christian,,
41.0053979,28.9748184,Örme Dikilitaş,,monument,,,,,
41.0056628,28.9751030,Yılanlı Sütun,attraction,column,,,,,
41.0059073,28.9753797,Theodosius Dikilitaşı,,monument,,,,,
41.0475599,29.0238189,Feriye Sinemaları,,,cinema,,,,
41.0456827,29.0045499,Tuzbaba Camii,,,place_of_worship,,muslim,,
41.0457272,29.0180468,,,,place_of_worship,,muslim,,
41.0323770,28.9774536,Garaj Istanbul,,,theatre,,,,
41.0296378,28.9740843,Babylon,,,nightclub,,,,
41.0351309,28.9772861,Peyote,,,nightclub,,,,
41.0084474,28.9727278,Sultan II. Mahmud Türbesi,,tomb,,,,,
41.0085416,28.9716244,Çemberlitaş Hamamı,attraction,,public_bath,turkish_bath,,,
41.0266963,28.9724737,Neve Şalom Sinagogu,,,place_of_worship,,jewish,,
41.0338150,28.9803923,Borusan Art Center,,,arts_centre,,,,
41.0345095,28.9766394,Ghetto Corner,yes,,nightclub,,,,
41.0127700,28.9990000,Port of Istanbul,,,,marina,,,
40.9802700,28.8955000,Zeytinburnu Limanı,,,,marina,,,
41.0129566,29.0111213,,,,,marina,,,
41.0181482,29.0084613,,,,,marina,,,
40.9998282,28.9205399,Belgrad Kapı,,city_gate,,,,,
41.0440058,28.9528800,Haci şaban cami,,,place_of_worship,,muslim,,
41.0484944,28.9494478,çiksalin yeni cami,,,place_of_worship,,muslim,,
41.0367007,28.9633671,Haşimi Emir Osman Cami,,,place_of_worship,,muslim,,
41.0143084,28.9345389,Saraç Doğan Camii,,,place_of_worship,,muslim,,
41.0304913,28.9762542,Kalvinist Kilise,,,place_of_worship,,christian,,
41.0435591,29.0042148,BJK 100 Yıl Kartal Heykeli,,monument,,,,,
41.0443088,28.9992776,Şenlikdede Parkı,,,,playground,,,
41.0263522,28.9710319,,,,place_of_worship,,muslim,,
40.9807102,29.0212246,,,,,playground,,,
41.0490754,28.9634768,Dikilitaş Aşık Veysel Parkı,,,,playground,,,
41.0071385,28.9439459,Bulgur Palas,,monument,,,,,
41.0097733,28.9559374,,,monument,,,,,
41.0162025,28.9719047,Hatice Turhan Sultan Türbesi,,monument,,,,,
41.0248800,28.9751520,Kuledibi Hamamı,,,,swimming_pool,,,
41.0054477,28.9796589,Magnaura Sarayı,,ruins,,,,,
41.0331620,28.9818585,Ağa Hamamı,,,,sauna,,,
40.9786198,28.8845938,Sakızağacı parkı,,,,playground,,,
40.9891290,29.0386096,,,,,playground,,,
40.9857240,29.0203797,,,,,playground,,,
41.0040800,28.9733493,ancient Substructures Hippodrom,,archaeological_site,,,,,
41.0080660,28.9779826,Milyon Taşı,,monument,,,,,
41.0082942,28.9712832,Movieplex,,,cinema,,,,
41.0248879,28.9741844,,,,fountain,,,,
41.0353869,28.9795780,Bab Bowling Cafe,,,,amusement_arcade,,,
41.0354287,28.9802016,Depo Taksim,,,nightclub,,,,
41.0201902,29.0424606,Aydın Demir Park,,,,playground,,,
41.0076113,28.9758611,,,,fountain,,,,
41.0043206,28.9646722,مطاعم سوق السمك,,,fountain,,,,
41.0499843,29.0308317,Supperclub,,,nightclub,,,,Sigara içilebilir alanlar mevcuttur. Fasıl ve canlı müzik yoktur hergün DJ ile müzik yapılmaktadır. Tekne ile ulaşım ve happy hour yoktur. Rezervasyon gereklidir.
41.0369635,28.9851445,Cumhuriyet Anıtı,,memorial,,,,,
41.0389476,28.9869866,,,,fountain,,,,
41.0390012,28.9502112,,,,,slipway,,,
40.9791328,29.0390321,,,,,playground,,,
40.9855423,29.0336395,,,,,playground,,,
40.9765989,29.0411302,Sadun Boro Heykeli,,memorial,,,,,
40.9864334,29.0339763,Lefter Küçükandonyadis Heykeli,,memorial,,,,,
40.9852779,29.0336422,Yunus Emre Heykeli,,memorial,,,,,
40.9856961,29.0336329,,,,,playground,,,
40.9868730,29.0336503,Süreyya İlmen Heykeli,,memorial,,,,,
40.9800582,29.0286968,,,,,playground,,,
40.9802547,29.0295813,,,,,playground,,,
40.9802744,29.0297836,,,,,playground,,,
40.9803540,29.0239767,Atatürk Anıtı,,memorial,,,,,
40.9884436,29.0288541,Kadıköy Sineması,,,cinema,,,,
40.9878304,29.0267608,Living Room,,,arts_centre,,,,
40.9874493,29.0286291,Osmanlı Hamam Kalıntısı,,ruins,,,,,
40.9818041,29.0326239,,,,,playground,,,
40.9822406,29.0331284,,,,,playground,,,
40.9853447,29.0275368,Ak'la Kara Tiyatro,,,theatre,,,,
40.9841193,29.0335753,,,,,fitness_station,,,
40.9842212,29.0335785,,,,,fitness_station,,,
40.9812226,29.0209277,Atatürk Anıtı,,memorial,,,,,
40.9875075,29.0338605,Alex de Souza Heykeli,,memorial,,,,,
40.9960576,29.0157164,2. Abdülhamit Anıtı,,memorial,,,,,
41.0017691,29.0071158,2. Abdülhamit Anıtı,,memorial,,,,,
