@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
45.6614159,11.1913058,Calcara,attraction,ruins,,,,,
45.8059912,10.5512489,,attraction,,,,,,
45.9116235,10.8351932,Cascata del Varone,attraction,,,,,,
46.0729515,11.4937739,Fontana Vecchia,attraction,monument,fountain,,,,
46.3826306,11.7765592,Cannoniera Italiana,attraction,,,,,,
46.3852136,11.7781610,military,attraction,,,,,,
45.7712681,10.7611448,Scala Tonda,attraction,,,,,,
45.7245532,10.7996622,Baloc taca via,attraction,,,,,,
46.0503849,10.8999923,Canyon del Limaro,attraction,,,,,,
46.0010779,10.9733394,Fonte Romana,attraction,archaeological_site,,,,,
46.1687904,10.7144566,Cascate Nardis,attraction,,,,,,
46.4637932,11.8917139,Kanone,attraction,,,,,,
45.7029892,11.5901472,Chiesetta di San Gaetano,attraction,,,,,,
45.7468247,11.5338830,Villa Piovene,attraction,manor,,,,,
45.5461870,11.5465512,Casa Antonio Pigafetta,attraction,,,,,,
45.5689306,11.3698558,Villa Trissino Marzotto,attraction,,,,,,
45.8862053,10.8419703,Porta San Michele,attraction,,,,,,
45.5469333,11.5401860,Loggia Valmarana,attraction,,,,,,
46.2821558,11.3537169,Calcara,attraction,,,,,,
46.4760183,10.6235575,Felsspalten - Fessure,attraction,,,,,,
46.2395184,11.2237977,Kalkofen - Calcara,attraction,,,,,,
46.0238266,11.7923866,Casa delle Fate,attraction,,,,,,
46.4216520,11.2523075,Locomotiva 835.322,attraction,locomotive,,,,,
45.8865443,10.8398249,Porta San Marco,attraction,,,,,,
46.4036545,11.7881963,"Mostra fotografica ""Guerra alla Guerra""",attraction,,,,,,
46.4400209,11.1363509,Orologio ad acqua,attraction,,clock,,,,
46.4368385,11.1335914,Canyon Rio Sass,attraction,,,,,,
46.4389489,11.1377519,Canyon Rio Sass,attraction,,,,,,
46.0488286,11.2760712,Forno Maso Emer,attraction,monument,,,,,
45.7435690,10.6228235,El Cuel del Zanzanù,attraction,,,,,,
45.5428861,11.7872500,Loco delle Vergini,attraction,,,,,,
