@lat,@lon,name,tourism,historic,amenity,leisure,religion,natural,description
50.1175994,14.4077440,emuové,attraction,,,,,,
50.1176089,14.4078121,Austrálie,attraction,,,,,,
50.1175030,14.4070315,kasuáři,attraction,,,,,,
50.1174516,14.4060804,loriové,attraction,,,,,,
50.1168052,14.4053417,ibisové,attraction,,,,,,
50.1168848,14.4044974,paovce,attraction,,,,,,
50.1170393,14.4033686,magoti,attraction,,,,,,
50.1164815,14.4032402,tygři,attraction,,,,,,
50.1168005,14.4028301,kachny,attraction,,,,,,
50.1169881,14.4023522,jeřábi,attraction,,,,,,
50.1167248,14.4018592,člunozobci,attraction,,,,,,
50.0730106,14.4312778,,attraction,,,,,,
50.0869802,14.4207138,Staroměstský orloj,attraction,,clock,,,,
50.0934302,14.4254051,,attraction,,,,,,
50.1161040,14.4101343,tučňáci,attraction,,,,,,
50.1157561,14.4051870,gorily,attraction,,,,,,
50.1186877,14.3999907,,attraction,,,,,,
50.1160519,14.4031400,lvi,attraction,,,,,,
50.1162372,14.4050488,želvy,attraction,,,,,,
50.1163422,14.4053762,,attraction,highwater_mark,,,,,
50.1207492,14.4051987,Africký výběh,attraction,,,,,,
50.1182372,14.4094889,mangusty,attraction,,,,,,
50.1182760,14.4095580,dikobrazi,attraction,,,,,,
50.0908297,14.4529347,,attraction,highwater_mark,,,,,
50.0869027,14.5640235,,attraction,,bicycle_parking,,,,
50.1052048,14.5743839,,attraction,,,,,,
50.0885117,14.3996190,Nerudova,attraction,,,,,,
50.1175979,14.4078879,Peacock,attraction,,,,,,
50.0655580,14.4010838,,attraction,,,,,,
50.1165168,14.4027489,Radar,attraction,,,,,,
50.0879278,14.4095378,,attraction,,,,,,
50.0903099,14.3981389,Plečnikova Pyramida,attraction,,,,,,
50.1697474,14.4036377,,attraction,highwater_mark,,,,,
50.0878324,14.4096113,Vinárna Čertovka,attraction,,,,,,
50.1077884,14.4215269,,attraction,,,,,,
50.1718237,14.2647115,viadukt u Nového mlýna,attraction,,,,,,
50.1012962,14.4250832,Kompostér,attraction,,,,,,
50.0869939,14.4207067,Staroměstský orloj,attraction,,,,,,
50.0845087,14.4591701,Kryt civilního obyvatelstva Parukářka,attraction,,,,,,
50.0538588,14.3367171,Hůrka,attraction,,,,,,
50.0467184,14.4864902,Spořilov,attraction,,,,,,
50.1449386,14.4759938,Ďáblice,attraction,,,,,,
50.1444204,14.4838556,Nejstarší panelový dům v Praze,attraction,,,,,,
50.1184473,14.4080932,hroch,attraction,,,,,,
50.1186551,14.4023223,,attraction,,,,,,
50.1169970,14.4045151,,attraction,,,,,,
50.1167783,14.4040800,,attraction,,,,,,
50.1170822,14.4044364,,attraction,,,,,,
50.1170533,14.4044364,,attraction,,,,,,
50.1179731,14.4047738,,attraction,,,,,,
50.1664978,14.4045812,,attraction,highwater_mark,,,,,
50.0884431,14.4030317,Svatováclavská rotunda,attraction,ruins,,,,,
50.1452326,14.5876298,Skalní most,attraction,,,,,,
50.0264559,14.4479729,,attraction,,,,,,
50.1052775,14.4274023,Apollo 11 - přistávací modul,attraction,,,,,,
49.9661891,14.4246256,zahradní orloj,attraction,,,,,,
50.0665743,14.3224442,Střed průsečíků extrémních bodů ČR,attraction,,,,,,
50.1159148,14.4064957,Dětská tramvaj v ZOO Praha,attraction,,,,,,
50.0852717,14.4239185,Thrill Park,attraction,,,,,,
50.0837708,14.4235699,Palác Euro,attraction,,,,,,
