50.0531432,19.9336431,Smocza Jama,,,cave_entrance,
50.0394416,19.9008795,Jaskinia Jasna,,,cave_entrance,
50.0380822,19.9584350,Kopiec Krakusa,,,peak,
50.0397151,19.9158179,Kawerna Magazyn,,,cave_entrance,
50.0389226,19.9024457,Grota Twardowskiego,,,cave_entrance,
50.0366236,19.8989656,Jaskinia Pychowicka,,,cave_entrance,
50.0399310,19.9146992,Jaskinia Musza,,,cave_entrance,
50.0399049,19.9171600,Rurka,,,cave_entrance,
50.0516378,19.9136094,Schronisko pod Klasztorem Norbertanek,,,cave_entrance,
50.0393236,19.9031087,Okienko Zbójnickie,,,cave_entrance,
50.0365629,19.8998719,Góra Księża,,,peak,
50.0413520,19.9040589,Krzemionki Zakrzowskie,,,peak,
50.0399360,19.9151605,,,,peak,
50.0406198,19.9145721,Jaskinia przed „Problemówką”,,,cave_entrance,
50.0400551,19.9137218,Jaskinia Koguta,,,cave_entrance,
50.0388185,19.9017713,Jaskinia pod Nyżą,,,cave_entrance,
50.0404658,19.9168820,Schronisko obok Anastomozów,,,cave_entrance,
50.0387161,19.9010465,Jaskinia z Kulkami,,,cave_entrance,
50.0408217,19.9158677,"Schronisko nad ""Sadystówką""",,,cave_entrance,
50.0369449,19.8988847,Tunel w Pychowicach,,,cave_entrance,
50.0388514,19.9020301,Jaskinia Niska,,,cave_entrance,
50.0388642,19.9006976,Jaskinia Wywiew,,,cave_entrance,
50.0432986,19.9574421,Wzgórze Lasoty,,,peak,
50.0547467,19.9361073,Wawel,,,peak,
50.0385421,19.9458033,,,,peak,
50.0522917,19.9043772,Cmentarz parafialny Salwator,cemetery,,,
50.0328937,19.9907488,Bagry Wielkie,,,water,
50.0535895,19.9742168,,,,water,
50.0523007,20.0168216,,,,water,
50.0450215,19.9031925,,,,water,
50.0397470,19.9011033,,forest,,,
50.0520508,19.9656551,Port przeładunkowy Zabłocie,industrial,,,
50.0597184,19.9121040,Błonia,village_green,,,
50.0629883,19.9150089,,forest,,,
50.0676509,19.9370605,Skwer Wolnej Ukrainy,construction,,,
50.0611160,19.9592241,,,,water,
50.0730173,19.9352601,Spółka Kupiecka Sp. z o.o. Nowy Kleparz Plac Targowy,retail,,,
50.0660882,19.9354673,,grass,,,
50.0647182,19.9369201,,grass,,,
50.0752123,19.9523572,Cmentarz Rakowicki,cemetery,,,
50.0778310,19.9558215,Cmentarz Rakowicki Wojskowy,cemetery,,,
50.0683693,19.9248548,,forest,,,
50.0531838,19.9217554,,grass,,,
50.0524664,19.9264162,,grass,,,
50.0496891,19.9354822,,grass,,,
50.0844393,19.9444096,Osiedle Żabiniec,residential,,,
50.0368446,19.9612115,Cmentarz Podgórski (nowy),cemetery,,,
50.0534533,19.9520307,Nowy Cmentarz Żydowski,cemetery,,,
50.0525442,19.9469569,Cmentarz Remuh,cemetery,,,
50.0652745,19.9291020,,construction,,,
50.0384222,19.9314734,Bagry Ludwinowskie,,,water,
50.0352817,19.9289180,,,,water,
50.0404731,19.9342837,,allotments,,,
50.0467404,19.9173417,"Rodzinny ogród działkowy ""Dębniki""",allotments,,,
50.0793013,19.9126614,16. Batalion Powietrznodesantowy,military,,,
50.0748658,19.9097188,,grass,,,
50.0751399,19.9078081,,grass,,,
50.0667242,19.8953593,ROD Krakus,allotments,,,
50.0404341,19.9153449,Problemówka,,,cliff,
50.0896734,19.9896140,Zespół Szkolno-Przedszkolny nr 5 im. Jana Brzechwy,school,,,
50.0916373,19.9922653,Osiedle Oświecenia,residential,,,
50.0913616,20.0007472,,residential,,,
50.0363654,19.9025481,Jednostka Wojskowa NIL,military,,,
50.0677512,19.9269189,,residential,,,
50.0685875,19.9286552,,industrial,,,
50.0528863,19.9490184,Skwer Berrecciego,grass,,,
50.0740144,19.9872855,,recreation_ground,,,
50.0582433,19.9998431,,retail,,,
50.0540960,19.9879927,"Ogródki Działkowe ""Zakole Wisły""",allotments,,,
50.0435955,19.9921745,,allotments,,,
50.0415507,19.9874200,"Ogródki Działkowe ""Słoneczny""",allotments,,,
50.0456744,20.0022559,Ogródki Działkowe,allotments,,,
50.0532264,20.0011836,,industrial,,,
50.0557231,19.9553055,Masarska 8,residential,,,
50.0543325,19.9589255,,commercial,,,
50.0626568,19.9884192,,allotments,,,
50.0557050,19.9703091,Jednostka wojskowa,military,,,
50.0552653,19.9616677,Osiedle Wiślane Tarasy,residential,,,
50.0557817,19.9636488,Wiślane Tarasy 2.0,construction,,,
50.0533687,19.9560932,,commercial,,,
50.0578027,19.9615592,,commercial,,,
50.0589084,19.9559031,,school,,,
50.0574982,19.9490498,Plac Pod Halą Targową,retail,,,
50.0419055,19.9591420,Cmentarz Podgórski (stary),cemetery,,,
50.0612549,19.9524861,,grass,,,
50.0521907,19.9574517,,grass,,,
50.0536450,19.9685228,,grass,,,
50.0583496,19.9812348,,recreation_ground,,,
50.0534200,19.9371492,,grass,,,
50.0755673,19.9905481,Osiedle Moje Eldorado,residential,,,
50.0717619,19.9257310,Skwer imienia Więźniów Obozów Zagłady,construction,,,
50.0790885,19.9659356,,orchard,,,
50.0817094,19.9485601,"Rodzinne ogródki działkowe ""Kolejarz""",allotments,,,
50.0419060,19.9243453,,garages,,,
50.0362346,19.9520013,ROD PKP Prokocim,allotments,,,
