37.9869841,23.7192258,Delta Hotels,hotel,,,,,,
37.9710049,23.7189850,,viewpoint,,,,,,
37.9839037,23.7559878,Best Western Plus Embassy Hotel,hotel,,,,,,
37.9765932,23.7324181,Hotel Astor,hotel,,,,,,
37.9815842,23.7266274,Hotel Economy,hotel,,,,,,
37.9799848,23.7183551,Eridanus,hotel,,,,,,
37.9723019,23.7316615,Παιδικό Μουσείο Αθηνών,museum,,,,,,
37.9747256,23.7277788,Adrian,hotel,,,,,,
37.9677942,23.7323154,Royal Olympic,hotel,,,,,,
37.9795301,23.7236343,Λουκάνικος street art,artwork,,,,,,Inscriptions: «Τα δακρυγόνα μαζί τα φάγαμε» + «All Dogs Go to Heaven»
37.9760600,23.7427122,Περί Τεχνών Καρτέρης,gallery,,,,,,
37.9818906,23.7431912,Lycabettus,viewpoint,,,,,,
37.9778271,23.7353855,Νομισματικό Μουσείο,museum,,,,,,"The Numismatic Museum owns 500.000 acquisitions –mostly coins as well as medals, lead bullae, gems, weights, obeloi and talents- dated from the 14th century BC until today"
37.9887168,23.7204109,San Remo,hostel,,,,,,
37.9782437,23.7136290,Βιομηχανικό Μουσείο Φωταερίου,museum,,,,,,
37.9733731,23.7257842,Εκθεση Άνθρωποι και Εργαλεία,museum,,,,,,
37.9730822,23.7253180,,viewpoint,,,,,,
37.9687550,23.7184959,Επτάθρονο,attraction,ruins,,,,,
37.9792640,23.7266009,Cecil,hotel,,,,,,
37.9778713,23.7263130,Fivos Hotel,hotel,,,,,,
37.9770923,23.7364747,Zoumpoulakis Galleries,gallery,,,,,,
37.9781176,23.7401386,Evripides,gallery,,,,,,
37.9774823,23.7405405,Skoufa,gallery,,,,,,
37.9785330,23.7282565,,artwork,,,,,,
37.9762746,23.7412120,ΑΕΝΑΟΝ Αίθουσα Τέχνης,gallery,,,,,,
37.9784454,23.7306629,Parahernalio,artwork,,,,,,
37.9837194,23.7231814,Best Western My Athens Hotel,hotel,,,,,,
37.9843808,23.7257975,Diros Hotel,hotel,,,,,,
37.9861992,23.7343484,Exarchion Hotel,hotel,,,,,,
37.9890268,23.7283863,Μονάδα,artwork,,,,,,
37.9756573,23.7307356,Athens La Strada,hotel,,,,,,
37.9794224,23.7424800,St George Lycabettus Boutique Hotel,hotel,,,,,,
37.9801006,23.7232667,Boutique Apartments,guest_house,,,,,,
37.9771471,23.7236831,Pella Inn,hostel,,,,,,
37.9867422,23.7223202,cosmos,hotel,,,,,,
37.9828685,23.7256438,Dorian inn Hotel,hotel,,,,,,
37.9907450,23.7206779,Ariston,hotel,,,,,,
37.9839119,23.7247226,Επίδαυρος,guest_house,,,,,,
37.9749610,23.7195576,Μουσείο Ηρακλειδών (Παράρτημα),museum,,,,,,
37.9864887,23.7274605,Athens house,hostel,,,,,,
37.9865327,23.7222747,Hotel Cosmos,hotel,,,,,,
37.9760793,23.7258696,,information,,,,,,
37.9698978,23.7522367,Jimmy's Home,guest_house,,,,,,
37.9688323,23.7295677,,information,,,,,,
37.9777390,23.7155702,,artwork,,,,,,
37.9761579,23.7226323,,information,,,,,,
37.9762668,23.7356269,,information,,,,,,
37.9754754,23.7290535,Κων. Παλαιολόγος,artwork,,,,,,
37.9866182,23.7410226,Attiki Evans Hotel,hotel,,,,,,
37.9734496,23.7457087,,artwork,,,,,,
37.9735384,23.7458536,,artwork,,,,,,
37.9736969,23.7200816,,information,,,,,,
37.9720011,23.7207526,,information,,,,,,
37.9714996,23.7209088,,information,,,,,,
37.9730839,23.7331058,,attraction,,,,,,
37.9773292,23.7246490,Συν-Οικία Πιττάκη,attraction,,,,,,Chandelier street art.
37.9746548,23.7317181,Omiros,hotel,,,,,,
37.9744869,23.7471374,Σατωβριάνδος,artwork,,,,,,
37.9746604,23.7473562,,artwork,,,,,,
37.9746886,23.7499617,Χριστόφορος Νέζερ,artwork,,,,,,
37.9746016,23.7475405,Nicolae Titulescu,artwork,,,,,,
37.9732633,23.7444217,Δημήτρης Μητρόπουλος,artwork,,,,,,
37.9726984,23.7435965,Harry S. Truman,artwork,,,,,,
37.9721536,23.7425547,Άγγελος Σικελιανός,artwork,,,,,,
37.9715772,23.7379605,,artwork,,,,,,
37.9816267,23.7287762,ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΠΛΑΤΕΙΑΣ ΔΗΜΛΡΧΕΙΟΥ (ΚΟΤΖΙΑ),information,,,,,,
37.9810684,23.7287146,ΠΕΡΙΟΧΉ ΑΧΑΡΝΙΚΉΣ ΠΎΛΗΣ ΤΗΣ ΟΧΎΡΩΣΗΣ ΤΩΝ ΑΘΗΝΏΝ,information,,,,,,
37.9747839,23.7506151,,artwork,,,,,,
37.9745177,23.7508356,Delice Family Apartments,hotel,,,,,,
37.9770323,23.7489841,,artwork,,,,,,
37.9769678,23.7543405,Χοσέ Μάρτι,artwork,,,,,,
37.9766139,23.7490661,Κωνσταντίνος Οικονόμος,artwork,,,,,,
37.9770605,23.7482121,Όλγα,artwork,,,,,,
37.9765985,23.7476652,,artwork,,,,,,
37.9751863,23.7321504,Electra Metropolis Hotel,hotel,,,,,,
