42.6520277,18.0771218,Afrodita Aprtments,apartment,,,,,,
42.6410328,18.1076808,lara,apartment,,,,,,
42.6416929,18.1046945,Love Stories Museum,museum,,,,,,
42.6522524,18.0767478,Oaza,apartment,,,,,,
42.6579472,18.0918587,,viewpoint,,,,,,
42.6619630,18.0875366,,viewpoint,,,,,,
42.6651936,18.0847267,,viewpoint,,,,,,
42.6461045,18.0959767,,viewpoint,,,,,,
42.6455879,18.0971880,,viewpoint,,,,,,
42.6417641,18.1068108,Sveti Vlaho,artwork,,,,,,
42.6485494,18.0957106,,hostel,,,,,,
42.6414949,18.1050622,,attraction,,,,,,
42.6545824,18.0940935,,hostel,,,,,,
42.6622832,18.0772483,Villa Divine,hostel,,,,,,
42.6558792,18.0772256,Dubrovnik Home,apartment,,,,,,
42.6591660,18.0870952,,museum,,,,,,
42.6452251,18.0981573,,viewpoint,,,,,,
42.6414886,18.1030783,,viewpoint,,,,,,
42.6574618,18.1006666,,viewpoint,,,,,,
42.6418178,18.1077808,Sveti Franjo,artwork,,,,,,
42.6418297,18.1075454,Muzej franjevačkog samostana,museum,,,,,,
42.6417039,18.1071331,Sveti Vlaho,artwork,,,,,,
42.6467355,18.1001125,Hedera,hotel,,,,,,
42.6587897,18.0860534,,information,,,,,,
42.6403104,18.1068889,Imperia,apartment,,,,,,
42.6423208,18.1087133,,hotel,,,,,,
42.6499062,18.0724132,,viewpoint,,,,,,
