45.7599290,4.8578262,Panneau d'information Vélo'v,information,,,,,,Rue du Docteur Bouchut
45.7675929,4.8352734,Polyphème,artwork,,,,,,
45.7676895,4.8353164,Poséidon,artwork,,,,,,
45.7677227,4.8352459,Amphitrite,artwork,,,,,,
45.7676393,4.8353272,Galatée,artwork,,,,,,
45.7676580,4.8352333,,artwork,,,,,,
45.7851546,4.8562025,Résidence Temporim,hotel,,,,,,
45.7848147,4.8529476,Lyon Marriott Hotel Cité Internationale,hotel,,,,,,
45.7520365,4.8402711,Hôtel du Helder,hotel,,,,,,
45.7724326,4.8318468,,viewpoint,,,,,,
45.7552617,4.8304349,La Résidence,hotel,,,,,,
45.7824243,4.8070347,Park&Suites Confort,hotel,,,,,,
45.7593110,4.8614129,Ibis Styles,hotel,,,,,,
45.7595371,4.8614155,Ibis Budget,hotel,,,,,,
45.7597644,4.8614246,Mercure,hotel,,,,,,
45.7556741,4.8592851,Resid'hotel,hotel,,,,,,
45.7863976,4.8112506,Dock Ouest,hotel,,,,,,
45.7429277,4.8788498,Lyonéon,artwork,,,,,,
45.7672632,4.8547250,Street Art,artwork,,,,,,
45.7530740,4.8447975,Apparthotel,hotel,,,,,,
45.7752053,4.8302988,Le Chant des Canuts,artwork,,,,,,
45.7715235,4.8408632,,information,,,,,,
45.7746462,4.8105209,,information,,,,,,
45.7453448,4.8722502,Hôtel du Nord,hotel,,,,,,
45.7616855,4.8411243,,information,,,,,,
45.7684984,4.8260672,Fedora Art Gallery,gallery,,,,,,
45.7457570,4.8513336,,information,,,,,,
45.7471445,4.8546871,,information,,,,,,
45.7668746,4.8205867,,information,,,,,,
45.7574366,4.8299200,Le Petit Prince et Saint-Exupery,artwork,memorial,,,,,
45.7610287,4.8275456,Aux Origines du Christianisme,information,,,,,,
45.7610834,4.8319573,Saint-Antoine,hotel,,,,,,
45.7652661,4.8278350,Hôtel Saint-Paul,hotel,,,,,,
45.7682069,4.8330207,Ho36 opéra,hotel,,,,,,
45.7607226,4.8371384,Boscolo Grand Hôtel,hotel,,,,,,
45.7504403,4.8474905,Hôtel Saint-Michel,hotel,,,,,,
45.7587868,4.8242256,,viewpoint,,,,,,
45.7519789,4.8283971,Hôtel Azur,hotel,,,,,,
45.7524404,4.8279454,Hôtel Henri IV,hotel,,,,,,
45.7531170,4.8294029,Hôtel d'Ainay,hotel,,,,,,
45.7589117,4.8152471,,viewpoint,,,,,,
45.7842713,4.8521056,Truck,artwork,,,,,,
45.7849189,4.8539087,Le Livreur de Pizza,artwork,,,,,,
45.7577191,4.8534844,Être,artwork,,,,,,
45.7579571,4.8213462,,viewpoint,,,,,,
45.7579783,4.8213719,,information,,,,,,
45.7589203,4.8212123,,information,,,,,,
45.7496335,4.8267868,Agence TCL,information,,,,,,
45.7831261,4.8498877,Grand Pingouin,artwork,,,,,,
45.7837953,4.8511552,Jeune Fille en roller,artwork,,,,,,
45.7729110,4.8052919,Souvenir Unité Paix,artwork,memorial,,,,,
45.7590280,4.8211073,Entrée du musée gallo-romain de Lyon,museum,,,,,,
45.7571465,4.8545399,,information,,,,,,
45.7593003,4.8543419,,information,,,,,,
45.7574866,4.8216571,,information,,,,,,
45.7630723,4.8345320,Hôtel Silky,hotel,,,,,,
45.7772035,4.8437264,Le Bretillod,information,,,,,,
45.7604600,4.8617491,Info Relais TCL,information,,,,,,
45.7851944,4.8558640,Deux Pingouins,artwork,,,,,,
45.7853129,4.8575233,Homme au téléphone,artwork,,,,,,
45.7856119,4.8545448,Ours,artwork,,,,,,
45.7839733,4.8524159,Birnam,artwork,,,,,,
45.7840461,4.8529806,Great Circle Dome,artwork,,,,,,
45.7840283,4.8525990,Lyon Asymmetrisch,artwork,,,,,,
45.7841304,4.8532624,World Markets,artwork,,,,,,
45.7469523,4.8450055,Mama Shelter,hotel,,,,,,
45.7454086,4.8483974,,artwork,,,,,,
45.7697413,4.8439253,Hôtel Foch,hotel,,,,,,
45.7509320,4.8367143,Claude Bernard,artwork,,,,,,
45.7532772,4.8501160,"Barthélemy Thimonnier, inventeur de la machine à coudre",artwork,,,,,,
45.7606968,4.8542481,,information,,,,,,
45.7692629,4.8253943,,viewpoint,,,,,,
45.7586990,4.8234099,,viewpoint,,,,,,
45.7685999,4.8564969,Tim Hôtel Part-Dieu,hotel,,,,,,
45.7820256,4.7957511,Sculpture,artwork,,,,,,
45.7753236,4.8307438,Le Printemps,artwork,,,,,,
45.7763871,4.8614131,,artwork,,,,,,
45.7695315,4.8490702,Hôtel Orsi,hotel,,,,,,
45.7529235,4.8420819,Ho36,hostel,,cafe,,,,
45.7615711,4.8292290,Le Poids de Soi,artwork,,,,,,
45.7555140,4.8456922,Slo Living Hostel,hostel,,,,,,
45.7605371,4.8594106,,information,,,,,,
45.7553845,4.8178819,,viewpoint,,,,,,
45.7639034,4.8281374,Boutique Souvenirs du Petit Musée de Guignol,museum,,,,,,
45.7708922,4.8115414,Alter'Hostel,hostel,,,,,,
45.7436530,4.8258738,Hôtel Ibis Budget Lyon Confluence,hotel,,,,,,
45.7434747,4.8257123,Hôtel Ibis Styles Lyon Confluence,hotel,,,,,,
45.7537348,4.8547864,Appart City Lyon Part-Dieu Garibaldi,hotel,,,,,,
45.7459628,4.8239225,Best Western Hotel Charlemagne,hotel,,,,,,
45.7714456,4.8439019,Statue équestre de Jeanne d'Arc,artwork,,,,,,
45.7505053,4.8289816,Hôtel du Dauphiné,hotel,,,,,,
45.7498662,4.8298983,Hôtel de la Marne,hotel,,,,,,
45.7497375,4.8298235,Hôtel des Savoies,hotel,,,,,,
45.7496005,4.8297605,Hôtel De Verdun,hotel,,,,,,
45.7493086,4.8294738,Hotelo,hotel,,,,,,
45.7443331,4.8710665,,artwork,,,,,,Buste d'Ambroise Courtois
45.7770748,4.7933824,,viewpoint,,,,,,
45.7403498,4.8197933,Borne multisensorielle,information,,,,,,
45.7404900,4.8193314,Borne multisensorielle,information,,,,,,
45.7399992,4.8190580,Panneau d'Orientation Multisensoriel,information,,,,,,
45.7405683,4.8195161,Panneau d'Orientation Multisensoriel,information,,,,,,
45.7561827,4.8185630,Le Jardin de Beauvoir,guest_house,,,,,,
45.7577647,4.8228448,Le Gourguillon,guest_house,,,,,,
45.7679119,4.8347192,Localyon,hotel,,,,,,
45.7879226,4.8362597,,information,,,,,,
45.7879265,4.8362634,Dombes-Penthod,information,,,,,,
45.7666756,4.8371862,Hôtel Iris,hotel,,,,,,
45.7782205,4.7947017,,viewpoint,,,,,,
45.7609756,4.8624111,Harmonie Musicale,artwork,,,,,,
45.7616807,4.8269086,Addenda,gallery,,,,,,
45.7502346,4.8299835,Hôtel Du Simplon,hotel,,,,,,
45.7863129,4.8130062,,picnic_site,,,,,,
45.7299317,4.8280106,Maison des mathématiques et de l'informatique,museum,,,,,,
45.7629626,4.8269316,La Tour Rose,attraction,,,,,,
45.7305017,4.8182051,#onlylyon,attraction,,,,,,
45.7791269,4.8746713,Hôtel ibis Styles Lyon Villeurbanne Parc de la Tête d'Or,hotel,,,,,,
45.7528035,4.8389170,Le Mur à Poupées,artwork,,,,,,Contre les violences faites aux femmes
45.7741734,4.8364931,Place Bellevue,viewpoint,,,,,,
45.7730090,4.8014812,,picnic_site,,,,,,
45.7731783,4.8015060,,picnic_site,,,,,,
45.7734257,4.8011278,,picnic_site,,,,,,
45.7735534,4.8012673,,picnic_site,,,,,,
45.7739575,4.8011700,,picnic_site,,,,,,
45.7646311,4.8418582,Okko Hotels Lyon Pont Lafayette,hotel,,,,,,
45.7453168,4.8227951,Quality Suites Lyon Confluence,hotel,,,,,,
45.7696867,4.8501955,Hôtel Tête d'Or,hotel,,,,,,
45.7542787,4.8343022,,information,,,,,,
45.7706367,4.8368050,Away Hostel & Coffee Shop,hostel,,,,,,
45.7701611,4.7854239,,picnic_site,,,,,,
45.7701772,4.7855026,,picnic_site,,,,,,
45.7701877,4.7855392,,picnic_site,,,,,,
45.7826700,4.8722571,Mur INSA,artwork,,,,,,
45.7709922,4.8306910,,viewpoint,,,,,,
45.7719842,4.8301383,,viewpoint,,,,,,
45.7875552,4.8542870,,information,,,,,,
45.7680829,4.8222444,Les planches,artwork,,,,,,
45.7633516,4.8351625,Aux merveilleux de Fred,attraction,,,,,,
45.7596779,4.8338503,Élysée Hôtel,hotel,,,,,,
45.7593408,4.8144446,Parc des hauteurs,information,,,,,,
45.7595882,4.8150514,,information,,,,,,
45.7598624,4.8192084,"Le théâtre romain, un édifice fermé",information,,,,,,
45.7859345,4.8338396,,information,,,,,,
45.7450881,4.8706151,Institut Lumière,museum,,,,,,
45.7791129,4.8557834,Poneys,attraction,,,,,,
